#nodes	t-init	t-main	t-comp	t-force	t-decomp
1	412.96	3381.7	3102	2632.8	279.62
2	205.7	1779.6	1565.7	1319.5	213.85
4	100.83	934.23	780.35	661.38	153.85
8	49.059	493.88	404.23	323.52	89.627
16	24.008	256.71	202.08	168.01	54.609
32	11.783	134.87	103.39	84.669	31.479
64	5.8112	71.557	53.061	43.345	18.482
128	2.9034	36.788	27.043	21.841	9.7253
256	1.4514	17.389	13.484	11.088	3.8872
512	0.74464	10.171	7.8417	5.8423	2.2973
1024	0.37995	5.7165	4.3031	2.8489	1.3869
2048	0.20215	3.2453	2.4399	1.5038	0.77882
4096	0.11814	3.01	2.4809	0.77185	0.51628
