nodes	iterations	molecules	t-init	t-main	t-comp	t-force	t-decomp	gflops-last	MMUPS	pareff
1										
2										
4										
8	11	64000000	2.53781					570.458		1.
16	11	64000000	1.28055	545.899	538.944	533.497	6.89125	1.14146e3	1.28	
32	11	64000000	0.649166	275.902	271.919	268.597	3.94206	2.27332e3	2.55	
64	11	64000000	0.330477	141.419	139.165	136.971	2.23117	4.49288e3	4.97	
128	11	64000000	0.298458	72.3713	71.0693	69.9328	1.28483	8.88791e3	9.72	
256	11	64000000	0.174856	37.0588	36.3192	35.7504	0.728096	17.5719e3	18.99	
512	11	64000000	0.0939443	20.1353	19.6422	18.8379	0.484578	33.1405e3	34.96	
1024	11	64000000	0.0785155	10.8979	10.602	10.1004	0.288341	62.6918e3	64.59	
2048	11	64000000	0.0467121	6.31812	6.09324	5.61139	0.218989	110.562e3	111.42	
4096	11	64000000	0.0273832	4.4278	4.26457	3.52368	0.158579	164.497e3	158.99	
8192										
9216										
