nodes	iterations	molecules	t-init	t-main	t-comp	t-force	t-decomp	gflops-last	MMUPS	pareff
1										
2										
4										
8	11	23860998250	33.083	1010.3	936.51	778.83	73.531	1.5835e3	259.79	1.
16	11	23860998250	16.594	512.88	472.85	393.64	39.881	3.1307e3	511.75	0.98493
32	11	23860998250	8.3955	260.84	237.8	197.93	22.962	6.1691e3	1006.25	0.96833
64	11	23860998250	4.2336	134.91	120.13	99.005	14.741	11.953e3	1945.52	0.936102
128	11	23860998250	2.1651	68.835	62.547	52.055	6.2406	23.508e3	3813.04	0.917337
256	11	23860998250	1.1235	35.022	31.123	25.762	3.8873	46.669e3	7494.46	0.901505
512	11	23860998250	0.6186	18.043	15.836	13.146	2.1999	91.499e3	14546.97	0.874924
1024	11	23860998250	0.30695	9.3294	8.2172	6.8441	1.0922	178.15e3	28133.74	0.846048
2048	11	23860998250	0.19894	4.8397	4.0828	3.3881	0.75355	350.11e3	54232.90	0.815456
4096	11	23860998250	0.14563	2.5391	2.1477	1.7257	0.38218	680.67e3	103371.65	0.777158
7168	11	23860998250	0.14721	1.5187	1.2464	0.97266	0.2642	1.1535e6	172826.08	0.74247
