nodes	iterations	molecules	t-init	t-main	t-comp	t-force	t-decomp	gflops-last	MMUPS	pareff
1										
2										
4										
8	11	23860998250	33.04	974.19	899.56	758.63	74.374	1.6422e3	269.42	1.
16	11	23860998250	16.649	492.62	455.35	384.73	37.127	3.2594e3	532.80	0.988791
32	11	23860998250	8.3329	249.94	227.33	192.07	22.528	6.4382e3	1050.13	0.974436
64	11	23860998250	4.2096	130.26	116.04	96.788	14.146	12.38e3	2014.97	0.934865
128	11	23860998250	2.1382	65.911	59.74	50.06	6.1402	24.551e3	3982.20	0.92379
256	11	23860998250	1.1243	33.458	29.632	24.55	3.8131	48.851e3	7844.78	0.909915
512	11	23860998250	0.74562	17.306	15.125	12.675	2.1742	95.393e3	15166.47	0.879579
1024	11	23860998250	0.30406	8.9715	7.8722	6.6817	1.0876	185.26e3	29256.08	0.848352
2048	11	23860998250	0.20193	4.6985	3.9911	3.308	0.70404	360.63e3	55862.71	0.809939
4096	11	23860998250	0.14341	2.4768	2.0753	1.6948	0.39127	697.52e3	105971.81	0.768229
7168	11	23860998250	0.14265	1.4764	1.2035	0.93991	0.26454	1.1865e6	177777.68	0.736443
