nodes	iterations	molecules	t-init	t-main	t-comp	t-force	t-decomp	gflops-last	gflops_secondlast	MMUPS	pareff	pareff_flops	pareff_flops_secondlast	gflops_per_it	gflops_min	gflops_average	gflops_max
1																	
2																	
4																	
8																	
16																	
32																	
64																	
128																	
256																	
512																	
1024																	
2048																	
4096																	
7168	11	19419894575408	173	1129.8	991.74	704.83	136.47	1.1445e6	1.3275e6	189076.68	1.	1.	1.	117.56e6	752143	1.32003e+06	1472260
