nodes	iterations	molecules	t-init	t-main	t-comp	t-force	t-decomp	gflops-last	MMUPS	pareff
1										
2										
4										
8	11	64000000	2.58178					572.893		1.
16	11	64000000	1.28487	546.611	539.764	534.714	6.78743	1.13983e3	1.28	
32	11	64000000	0.643614	275.172	270.602	268.058	4.53415	2.27907e3	2.55	
64	11	64000000	0.329365	140.938	137.771	136.625	3.1395	4.50761e3	4.99	
128	11	64000000	0.173327	71.9133	69.9313	69.3379	1.96811	8.94334e3	9.78	
256	11	64000000	0.169638	36.8221	35.9216	35.6344	0.890042	17.6826e3	19.11	
512	11	64000000	0.134432	19.7564	19.0638	18.8984	0.684084	33.7713e3	35.63	
1024	11	64000000	0.103592	10.6278	10.0814	9.99603	0.539949	64.2754e3	66.24	
2048	11	64000000	0.0494253	5.94348	5.524	5.48019	0.413842	117.512e3	118.44	
4096	11	64000000	0.0288357	3.80474	3.42598	3.39648	0.374286	191.407e3	185.03	
8192										
9216										
