nodes	iterations	molecules	t-init	t-main	t-comp	t-force	t-decomp	gflops-last	MMUPS	pareff
1	11	8000000	2.35106	673.015	665.076	654.043	7.85115	92.512	.13	1.
2	11	15625000	2.25834	661.383	651.842	641.103	9.45481	183.91	.25	0.961538
4	11	29791000	2.32153	631.571	621.758	611.332	9.72815	366.831	.51	0.980769
8	11	64000000	2.55631	676.843	665.908	654.075	10.8455	735.91	1.04	1
16	11	125000000	2.27268	663.074	652.674	641.602	10.3144	1.46752e3	2.07	0.995192
32	11	250047000	2.47271	659.257	649.063	638.255	10.106	2.9476e3	4.17	1.0024
64	11	493039000	2.43679	654.867	642.655	631.888	12.1236	5.86291e3	8.28	0.995192
128	11	1000000000	2.12371	567.502	556.735	547.092	10.6883	13.7174e3	19.38	1.16466
256	11	2000376000	2.50332	662.094	651.738	640.542	10.2673	23.4798e3	33.23	0.998498
512	11	4019679000	2.52324	668.631	657.722	646.276	10.8147	46.8152e3	66.12	0.993389
1024	11	8120601000	2.62448	676.56	664.538	652.924	11.9327	93.4276e3	132.03	0.991812
2048	11	16194277000	2.7377	669.643	658.721	646.444	10.834	187.938e3	266.01	0.999136
4096	11	32461759000	2.86128	673.351	661.907	650.609	11.3513	375.151e3	530.30	0.995906
8192	11	65450827000	2.94931	681.898	669.973	656.509	11.835	747.125e3	1055.81	0.991408
9216										
