nodes	iterations	molecules	t-init	t-main	t-comp	t-force	t-decomp	gflops-last	MMUPS	pareff
1	11	8000000	2.54295	1085.24	1075.66	1066.82	9.47711	71.3016	.08	1.
2	11	15625000	2.46413	1059.96	1047.06	1036.65	12.7964	142.609	.16	1
4	11	29791000	2.38192	1013.79	999.509	991.162	14.1844	284.012	.32	1
8	11	64000000	2.41386	1084.17	1071.53	1061.52	12.5273	570.977	.64	1
16	11	125000000	2.4862	1064.74	1049.43	1038.97	15.2068	1.13575e3	1.29	1.00781
32	11	250047000	2.55273	1057.27	1039.45	1029.91	17.7154	2.28435e3	2.60	1.01562
64	11	493039000	2.49761	1055.76	1041.3	1031.59	14.3479	4.51938e3	5.13	1.00195
128	11	1000000000	2.18329	909.807	893.728	884.565	15.9807	10.6333e3	12.09	1.18066
256	11	2000376000	2.55092	1060.5	1041.92	1030.28	18.4674	18.2192e3	20.74	1.0127
512	11	4019679000	3.40648	1077.46	1061.84	1044.7	15.5066	36.1026e3	41.03	1.00171
1024	11	8120601000	2.61679	1090.18	1076.7	1060.41	13.37	72.0545e3	81.93	1.00012
2048	11	16194277000	2.67125	1080.11	1065.11	1049.16	14.8866	144.814e3	164.92	1.00659
4096	11	32461759000	2.86592	1084.69	1070.04	1051.77	14.5386	289.442e3	329.19	1.00461
8192	11	65450827000	3.21403	1110.39	1096.79	1071.94	13.488	570.178e3	648.38	0.989349
9216										
